record_id,source_type,source,title,event_date,entity_name,raw_text,penalty_amount,agency,region,url
REG_000022,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 上海浦东发展银行股份有限公司及相关责任人员,2025-10-31,上海浦东发展银行股份有限公司及相关责任人员,"相关互联网贷款、代销等业务管理不审慎
对上海浦东发展银行股份有限公司罚款1270万元。 对何荣警告并罚款7万元。",1270.0,金融监管总局,上海,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1231550&itemId=4113&generaltype=9
REG_000023,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 中再资产管理股份有限公司及相关责任人员,2025-10-11,中再资产管理股份有限公司及相关责任人员,"未按照规定运用保险公司资金
对中再资产管理股份有限公司罚款300万元。对刘凡、周金荣、刘峰、陆杰警告并罚款共计23万元。",300.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1228899&itemId=4113&generaltype=9
REG_000024,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 太平资产管理有限公司及相关责任人员,2025-10-11,太平资产管理有限公司及相关责任人员,"未按照规定运用保险公司资金等
对太平资产管理有限公司罚款70万元。对施泓亦禁止5年进入保险业。",70.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1228899&itemId=4113&generaltype=9
REG_000025,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 中国邮政储蓄银行股份有限公司 及相关责任人员,2025-09-30,中国邮政储蓄银行股份有限公司 及相关责任人员,"相关贷款业务、互联网贷款业务、绩效考核、合作业务等管理不审慎
对 中国邮政储蓄银行股份有限公司 罚没合计2791.67万元。 对黄文贤给予警告并罚款5万元。",5.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1228124&itemId=4113&generaltype=9
REG_000026,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 中信百信银行股份有限公司及相关责任人员,2025-09-30,中信百信银行股份有限公司及相关责任人员,"相关互联网贷款等业务管理不审慎、监管数据报送不合规等
对中信百信银行股份有限公司罚款合计1120万元。 对于晓红取消高级管理人员任职资格5年，对朱祎敏给予警告。",1120.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1228124&itemId=4113&generaltype=9
REG_000027,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 中国民生银行 股份有限公司,2025-09-12,中国民生银行 股份有限公司,"系统使用管控不到位、基础软件版本管理不足、生产运维管理不严等
对中国民生银行股份有限公司罚款590万元",590.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1225670&itemId=4113&generaltype=9
REG_000028,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 招商银行股份 有限公司,2025-09-12,招商银行股份 有限公司,"数据安全管理不到位
对招商银行股份有限公司警告并罚款60万元",60.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1225670&itemId=4113&generaltype=9
REG_000029,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 中国进出口银行,2025-09-12,中国进出口银行,"国别风险管理不到位、薪酬支付管理不到位等事项
对中国进出口银行罚款130万元",130.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1225649&itemId=4113&generaltype=9
REG_000030,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 中国建设银行股份有限公司,2025-09-12,中国建设银行股份有限公司,"个别信息系统开发测试不充分 、信息科技外包管理存在不足等事项
对中国建设银行股份有限公司罚款290万元",290.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1225649&itemId=4113&generaltype=9
REG_000031,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 中国光大银行股份有限公司,2025-09-12,中国光大银行股份有限公司,"信息科技外包管理存在不足、监管数据错报等事项
对中国光大银行股份有限公司罚款430万元",430.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1225649&itemId=4113&generaltype=9
REG_000032,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 中信银行股份有限公司,2025-09-12,中信银行股份有限公司,"理财回表资产风险分类不准确、同业投资投后管理不到位等事项
对中信银行股份有限公司罚款550万元",550.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1225649&itemId=4113&generaltype=9
REG_000033,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 信银理财有限责任公司,2025-09-12,信银理财有限责任公司,"理财产品名称不规范、理财产品投资比例不符合监管要求等事项
对信银理财有限责任公司罚款220万元",220.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1225649&itemId=4113&generaltype=9
REG_000034,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 广发银行股份有限公司及相关责任人员,2025-09-12,广发银行股份有限公司及相关责任人员,"相关贷款、票据、保理等业务管理不审慎，监管数据报送不合规等
对 广发银行股份有限公司 罚款6670万元。 对 李工凡、陈卉 警告并罚款合计10万元。",6670.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1225641&itemId=4113&generaltype=9
REG_000035,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 恒丰银行股份有限公司及相关责任人员,2025-09-12,恒丰银行股份有限公司及相关责任人员,"相关贷款、票据、理财等业务 管理 不审慎，监管 数据报送不合规 等
对恒丰银行股份有限公司罚款6150万元。 对王洋、魏会敏、杜娟、凌勇警告并罚款合计25万元；对李勇、郑现中警告。",6150.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1225641&itemId=4113&generaltype=9
REG_000036,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 华夏理财有限责任公司及相关责任人员,2025-09-12,华夏理财有限责任公司及相关责任人员,"投资运作不规范，系统管控不到位，监管数据报送不合规等
对华夏理财有限责任公司罚款1200万元。 对王涛、张志涛警告并罚款合计10万元。",1200.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1225641&itemId=4113&generaltype=9
REG_000037,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 恒大人寿保险有限公司相关责任人员,2025-09-12,恒大人寿保险有限公司相关责任人员,"保险资金运用严重不合规、向关联方输送利益，投后管理不合规，报送的 报告 报表存在虚假记载等
对梁栋、朱加麟、曾松柏、陈堃、刘国辉、汪守想、方元甫、章新蓉、莫勇光、陈里达、罗嵩、彭建军、姜劲峰、胡锋、许晓光、陈敏、赵宏涛、刘曲章、张炎、王煦 警告并罚款共计282.5万元。 对梁栋禁止终身进入保险业，对陈堃禁止10年进入保险业，对 朱加麟、曾松柏、刘国辉 禁止5年进入保险业。",282.5,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1225641&itemId=4113&generaltype=9
REG_000038,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 工银金融资产投资有限公司,2025-09-05,工银金融资产投资有限公司,"服务业务价格管理不规范。
对 工银金融资产投资有限公司 罚款40万元。",40.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1224782&itemId=4113&generaltype=9
REG_000039,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 交银保险资产管理有限公司,2025-09-05,交银保险资产管理有限公司,"投资不符合监管要求的信托计划、 债权投资计划 相关操作 不符合监管要求 、关联交易管理不合规 等。
对交银保险资产管理有限公司共计罚款115万元 。 对李盛达、田红霞、章丽琴分别给予警告并罚款7万元、2万元、2万元。",115.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1224782&itemId=4113&generaltype=9
REG_000040,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 太平洋资产管理有限责任公司,2025-09-05,太平洋资产管理有限责任公司,"债权投资计划 相关操作不符合监管要求、 组合类保险资管产品 管理不合规等 。
对太平洋资产管理有限责任公司罚款100万元 。 对齐伟山 、 康珊 、 钱鲲 分别 给予警告并罚款 10万元、2万元、 1万元 。",100.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1224782&itemId=4113&generaltype=9
REG_000041,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 原工商银行员工李超、易重彬,2025-09-05,原工商银行员工李超、易重彬,"利用职务便利违规开展理财业务，严重违反审慎经营规则
对李超 禁止5年从事银行业工作 ；对易重彬 禁止 7 年从事银行业工作 。",0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1224725&itemId=4113&generaltype=9
REG_000042,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 华夏银行股份有限公司及相关责任人员,2025-09-05,华夏银行股份有限公司及相关责任人员,"相关贷款、票据、同业等业务管理不审慎，监管数据报送不合规等
对华夏银行股份有限公司罚款8725万元。 对陈成天、刘建新警告；对钱建华、何羽、吕玉梅、涂超警告并罚款合计20万元。",8725.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1224725&itemId=4113&generaltype=9
REG_000043,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 浙商银行股份有限公司及相关责任人员,2025-09-05,浙商银行股份有限公司及相关责任人员,"相关互联网贷款等业务管理不审慎
对 浙商银行股份有限公司 罚没合计1130.80万元。 对 谭飞达 警告。",0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1224725&itemId=4113&generaltype=9
REG_000044,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 建信金融资产投资有限公司及相关责任人员,2025-09-05,建信金融资产投资有限公司及相关责任人员,"债转股项目开展不审慎，服务收费定价程序不规范
对建信金融资产投资有限公司罚款85万元。 对徐文博禁止5年从事银行业工作。",85.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1224725&itemId=4113&generaltype=9
REG_000045,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 中国农业发展银行,2025-08-01,中国农业发展银行,"信贷资金投向不合规、贷后管理不到位等
对中国农业发展银行罚款1020万元。",1020.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1219958&itemId=4113&generaltype=9
REG_000046,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 华夏人寿保险股份有限公司及相关责任人员,2025-08-01,华夏人寿保险股份有限公司及相关责任人员,"报送的报告中存在虚假记载和重大遗漏、客户信息不真实、产品宣传材料不合规、虚假列支费用、违规大幅虚增偿付能力、违规运用资金造成重大损失等
对 华夏人寿保险股份有限公司吊销业务许可证。 对李飞、赵子良、彭晓东、于振亭、李建伟、贾春伟、张峰、项子强、朱友干、王国强、姚志刚、何建奎、蔡可青、邹明红、提建设、王林锋、洪军、姜峰、房延瑞、万进、马捷、赵杰、马登峰警告并罚款共计232万元。 对李飞、赵子良、彭晓东、于振亭、李建伟、贾春伟、张峰、朱友干、王国强、何建奎、蔡可青、洪军撤销任职资格。 对张峰、王国强、房延瑞禁止进入保险业1年；对李建伟禁止进入保险业3年；对贾春伟禁止进入保险业5年；对于振亭禁止进入保险业8年；对赵子良、洪军禁止进入保险业10年；对李飞、彭晓东终身禁止进入保险业。",232.0,金融监管 总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1219958&itemId=4113&generaltype=9
REG_000047,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 中国大地财产保险股份有限公司及相关责任人员,2025-08-01,中国大地财产保险股份有限公司及相关责任人员,"未按照规定使用经批准或备案的保险条款、费率，给予投保人保险合同约定以外的利益，相关财务、业务数据不准确，客户信息管理不规范等
对 中国大地财产保险股份有限公司警告并罚款473万元，对江西分公司罚款20万元。 对舒文跃、郭俭峰、殷秀亮、刘利红、王海滨、彭作和、苏博、万雪平、顾佶、詹强、逄博、成文清、郑丽、胡林昌、朱渊、齐军、张敏、黄叻、戴懿警告并罚款共计115万元。",473.0,金融监管 总局,江西,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1219958&itemId=4113&generaltype=9
REG_000048,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 国元农业保险股份有限公司及相关责任人员,2025-08-01,国元农业保险股份有限公司及相关责任人员,"报送的报告、数据不准确，未按照规定使用经批准或备案的保险条款、费率，未按照规定计提未决赔款准备金等
对 国元农业保险股份有限公司警告并罚款340万元。 对孙丛林、江斌、张福银、张治渤、沈光斌、沈华根、张来根、刘磊、李传盛警告并罚款共计54万元。",340.0,金融监管 总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1219958&itemId=4113&generaltype=9
REG_000049,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 广银理财有限责任公司及相关责任人员,2025-08-01,广银理财有限责任公司及相关责任人员,"投资运作不规范、数据管理不审慎、信息登记不及时等
对广银理财有限责任公司没收违法所得194.94万元、罚款964.94万元，罚没合计1159.88万元。 对王光源、王未红警告并罚款共计40万元。",1199.88,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1219958&itemId=4113&generaltype=9
