record_id,source_type,source,title,event_date,content,mentioned_entity,read_count,comment_count,url
COMM_000820,comment,东方财富股吧,主力吃货应该差不多了，该拉升了,2026-06-05,主力吃货应该差不多了，该拉升了,浦发银行(600000),64,2,"https://guba.eastmoney.com/news,600000,1721559078.html"
COMM_000821,comment,东方财富股吧,银行支棱起来。否则指数跌得一塌糊涂。,2026-06-05,银行支棱起来。否则指数跌得一塌糊涂。,浦发银行(600000),65,1,"https://guba.eastmoney.com/news,600000,1721586001.html"
COMM_000822,comment,东方财富股吧,我每次建仓浦发银行，还是能带来一小波上涨的。不过这个适合几百万资金搞它，我这次搞,2026-06-05,我每次建仓浦发银行，还是能带来一小波上涨的。不过这个适合几百万资金搞它，我这次搞,浦发银行(600000),85,0,"https://guba.eastmoney.com/news,600000,1721582129.html"
COMM_000823,comment,东方财富股吧,等分红，分红前一天拜拜,2026-06-05,等分红，分红前一天拜拜,浦发银行(600000),74,2,"https://guba.eastmoney.com/news,600000,1721563294.html"
COMM_000824,comment,东方财富股吧,$浦发银行(SH600000)$,2026-06-05,$浦发银行(SH600000)$,浦发银行(600000),37,0,"https://guba.eastmoney.com/news,600000,1721563201.html"
COMM_000825,comment,东方财富股吧,$浦发银行(SH600000)$,2026-06-05,$浦发银行(SH600000)$,浦发银行(600000),34,0,"https://guba.eastmoney.com/news,600000,1721562994.html"
COMM_000826,comment,东方财富股吧,感觉涨一分钱都是那么的痛苦和纠结,2026-06-05,感觉涨一分钱都是那么的痛苦和纠结,浦发银行(600000),44,1,"https://guba.eastmoney.com/news,600000,1721540732.html"
COMM_000827,comment,东方财富股吧,还是兴业银行牛，,2026-06-05,还是兴业银行牛，,浦发银行(600000),60,3,"https://guba.eastmoney.com/news,600000,1721382680.html"
COMM_000828,comment,东方财富股吧,全线清仓，只保留AI，芯片，保留少量浦发。其他全部清仓，留3万左右尾货记仇，也提,2026-06-05,全线清仓，只保留AI，芯片，保留少量浦发。其他全部清仓，留3万左右尾货记仇，也提,浦发银行(600000),86,2,"https://guba.eastmoney.com/news,600000,1721138502.html"
COMM_000829,comment,东方财富股吧,蒲发银行行长。请冋公司经近30年的发展，今时今日连发行价10元价都达不到，为什么,2026-06-05,蒲发银行行长。请冋公司经近30年的发展，今时今日连发行价10元价都达不到，为什么,浦发银行(600000),69,2,"https://guba.eastmoney.com/news,600000,1721372124.html"
COMM_000830,comment,东方财富股吧,没实力就不要当庄！,2026-06-05,没实力就不要当庄！,浦发银行(600000),37,0,"https://guba.eastmoney.com/news,600000,1721378512.html"
COMM_000831,comment,东方财富股吧,再次重申看空浦发，目标价位7块，坐等二季度报出来就知道结果。,2026-06-05,再次重申看空浦发，目标价位7块，坐等二季度报出来就知道结果。,浦发银行(600000),43,0,"https://guba.eastmoney.com/news,600000,1721372422.html"
