source,title,publish_time,stock_or_entity,content,read_count,comment_count,url,crawl_time
东方财富股吧,美股大跌、韩国熔断，非农、加息预期、ai不及预期引发担忧，风险一经引发，不是短期,06-08 09:48,平安银行(000001),美股大跌、韩国熔断，非农、加息预期、ai不及预期引发担忧，风险一经引发，不是短期,97,0,"https://guba.eastmoney.com/news,601138,1722137210.html",2026-06-08 14:35:30
东方财富股吧,涨跌随意，坐等分红。,06-08 09:46,平安银行(000001),涨跌随意，坐等分红。,31,0,"https://guba.eastmoney.com/news,000001,1722130640.html",2026-06-08 14:35:30
东方财富股吧,就是不让散户地位股息复投，良心大大嘀坏。,06-08 09:43,平安银行(000001),就是不让散户地位股息复投，良心大大嘀坏。,27,0,"https://guba.eastmoney.com/news,000001,1722119190.html",2026-06-08 14:35:30
东方财富股吧,10.8没买到真是可惜了,06-08 09:35,平安银行(000001),10.8没买到真是可惜了,34,0,"https://guba.eastmoney.com/news,000001,1722094938.html",2026-06-08 14:35:30
东方财富股吧,这回看来是分到猪后腿，而且是剃净毛的。,06-08 09:31,平安银行(000001),这回看来是分到猪后腿，而且是剃净毛的。,35,0,"https://guba.eastmoney.com/news,000001,1722081306.html",2026-06-08 14:35:30
东方财富股吧,周五卖了哭死了,06-08 09:31,平安银行(000001),周五卖了哭死了,27,0,"https://guba.eastmoney.com/news,000001,1722079993.html",2026-06-08 14:35:30
东方财富股吧,低于10.7元就补仓,06-08 09:18,平安银行(000001),低于10.7元就补仓,37,2,"https://guba.eastmoney.com/news,000001,1722042555.html",2026-06-08 14:35:30
东方财富股吧,11元以下，分红就补仓,06-08 09:26,平安银行(000001),11元以下，分红就补仓,32,0,"https://guba.eastmoney.com/news,000001,1722067509.html",2026-06-08 14:35:30
东方财富股吧,黑色星期一啊,06-08 09:25,平安银行(000001),黑色星期一啊,30,0,"https://guba.eastmoney.com/news,000001,1722061048.html",2026-06-08 14:35:31
东方财富股吧,银行上周五已护盘，今天同样会，下跌可以，但指数不能爆跌？看看吧！,06-08 09:07,平安银行(000001),银行上周五已护盘，今天同样会，下跌可以，但指数不能爆跌？看看吧！,42,0,"https://guba.eastmoney.com/news,000001,1722035659.html",2026-06-08 14:35:31
东方财富股吧,血雨腥风的一天,06-08 06:16,平安银行(000001),血雨腥风的一天,49,1,"https://guba.eastmoney.com/news,000001,1722010909.html",2026-06-08 14:35:31
东方财富股吧,都在摩拳擦掌！磨刀霍霍向猪羊！,06-08 08:59,平安银行(000001),都在摩拳擦掌！磨刀霍霍向猪羊！,32,0,"https://guba.eastmoney.com/news,000001,1722032384.html",2026-06-08 14:35:31
东方财富股吧,打新价投攒股收息+股吧金句选摘收集。鸣谢金句作者，点赞传递正能量！,04-02 04:40,平安银行(000001),打新价投攒股收息+股吧金句选摘收集。鸣谢金句作者，点赞传递正能量！,2176,21,"https://guba.eastmoney.com/news,000001,1688703535.html",2026-06-08 14:35:31
东方财富股吧,预测今天收盘价为12元,06-08 08:28,平安银行(000001),预测今天收盘价为12元,56,2,"https://guba.eastmoney.com/news,000001,1722024110.html",2026-06-08 14:35:31
东方财富股吧,是不是6.18最受影响被动卖出,06-08 08:33,平安银行(000001),是不是6.18最受影响被动卖出,40,0,"https://guba.eastmoney.com/news,000001,1722025377.html",2026-06-08 14:35:31
东方财富股吧,贷款增长少时，银行可以大比例分红了，如同煤炭企业煤矿投资减少，大比例分红。中国经,06-07 04:17,平安银行(000001),贷款增长少时，银行可以大比例分红了，如同煤炭企业煤矿投资减少，大比例分红。中国经,352,2,"https://guba.eastmoney.com/news,601997,1721962283.html",2026-06-08 14:35:31
东方财富股吧,先支个锅，烧开水，万一分到带毛猪肉，先褪毛。,06-08 08:18,平安银行(000001),先支个锅，烧开水，万一分到带毛猪肉，先褪毛。,31,0,"https://guba.eastmoney.com/news,000001,1722021907.html",2026-06-08 14:35:31
东方财富股吧,明天怎么走，大神们预测一下,06-07 10:07,平安银行(000001),明天怎么走，大神们预测一下,62,1,"https://guba.eastmoney.com/news,000001,1721993929.html",2026-06-08 14:35:31
东方财富股吧,下周只要有5个点以上的调整，就加大入货力度，一年分红近6毛，好过存银行。,06-06 09:27,平安银行(000001),下周只要有5个点以上的调整，就加大入货力度，一年分红近6毛，好过存银行。,472,9,"https://guba.eastmoney.com/news,000001,1721841541.html",2026-06-08 14:35:31
东方财富股吧,平安银行这个价值得买入吗？？大神指点一下,06-07 09:08,平安银行(000001),平安银行这个价值得买入吗？？大神指点一下,90,1,"https://guba.eastmoney.com/news,000001,1721987755.html",2026-06-08 14:35:31
东方财富股吧,明天看你扛大旗,06-07 11:03,平安银行(000001),明天看你扛大旗,277,7,"https://guba.eastmoney.com/news,000001,1721940185.html",2026-06-08 14:35:31
东方财富股吧,富时中国A50指数，重要调整,06-03 07:51,平安银行(000001),富时中国A50指数，重要调整,11627,32,"https://guba.eastmoney.com/news,hk03986,1720032923.html",2026-06-08 14:35:31
东方财富股吧,周一怎么走,06-06 08:32,平安银行(000001),周一怎么走,180,3,"https://guba.eastmoney.com/news,000001,1721833902.html",2026-06-08 14:35:31
东方财富股吧,$平安银行(SZ000001)$,06-07 06:15,平安银行(000001),$平安银行(SZ000001)$,58,0,"https://guba.eastmoney.com/news,000001,1721971817.html",2026-06-08 14:35:31
东方财富股吧,富时中国A50指数，迎来重大调整,06-03 07:23,平安银行(000001),富时中国A50指数，迎来重大调整,27020,79,"https://guba.eastmoney.com/news,603986,1720025543.html",2026-06-08 14:35:31
东方财富股吧,我还在等10.6多加呢，结果这就上去了,06-05 09:44,平安银行(000001),我还在等10.6多加呢，结果这就上去了,107,3,"https://guba.eastmoney.com/news,000001,1721123607.html",2026-06-08 14:35:31
东方财富股吧,三年了，吃股息还亏7%,06-05 09:18,平安银行(000001),三年了，吃股息还亏7%,252,6,"https://guba.eastmoney.com/news,000001,1721763979.html",2026-06-08 14:35:31
东方财富股吧,平安银行：2025年年度权益分派实施公告,06-04 10:12,平安银行(000001),平安银行：2025年年度权益分派实施公告,5027,17,"https://guba.eastmoney.com/news,000001,1720946324.html",2026-06-08 14:35:31
东方财富股吧,6月与7月是大部分投资分红收获季。6月11日是平安银行登记日，每股分红0.36，,06-06 09:15,平安银行(000001),6月与7月是大部分投资分红收获季。6月11日是平安银行登记日，每股分红0.36，,441,4,"https://guba.eastmoney.com/news,000001,1721839591.html",2026-06-08 14:35:31
东方财富股吧,现在回头看2024年初9元价格买入平安银行的人都已经躺赢了，按现在股息率算，股息,06-06 10:10,平安银行(000001),现在回头看2024年初9元价格买入平安银行的人都已经躺赢了，按现在股息率算，股息,1167,8,"https://guba.eastmoney.com/news,000001,1721848641.html",2026-06-08 14:35:31
东方财富股吧,平安银行今年在银行股中后期必将成为黑马，理由如下，一是重回增长已确定，冀总已反复,06-05 02:32,平安银行(000001),平安银行今年在银行股中后期必将成为黑马，理由如下，一是重回增长已确定，冀总已反复,1330,11,"https://guba.eastmoney.com/news,000001,1721589441.html",2026-06-08 14:35:31
东方财富股吧,总洁:发起924行情，是套人亥人的，，,06-04 11:49,平安银行(000001),总洁:发起924行情，是套人亥人的，，,470,9,"https://guba.eastmoney.com/news,601601,1720520818.html",2026-06-08 14:35:31
东方财富股吧,历史上被剔除的股票永远是最低点，纳入的永远是最高点,06-06 12:06,平安银行(000001),历史上被剔除的股票永远是最低点，纳入的永远是最高点,291,4,"https://guba.eastmoney.com/news,000001,1721796473.html",2026-06-08 14:35:31
东方财富股吧,看抖音来的垃圾平安银行,06-05 11:16,平安银行(000001),看抖音来的垃圾平安银行,100,1,"https://guba.eastmoney.com/news,000001,1721789790.html",2026-06-08 14:35:31
东方财富股吧,咋上去了呢？等着加仓呢看来得等到分红除息后看看能有机会吗？,06-05 03:01,平安银行(000001),咋上去了呢？等着加仓呢看来得等到分红除息后看看能有机会吗？,66,1,"https://guba.eastmoney.com/news,000001,1721648492.html",2026-06-08 14:35:31
东方财富股吧,都在说平安被踢出Ａ50是利好，我怎么感觉后背发凉呢？但愿是我想太多了，总觉得人在,06-04 12:05,平安银行(000001),都在说平安被踢出Ａ50是利好，我怎么感觉后背发凉呢？但愿是我想太多了，总觉得人在,2329,29,"https://guba.eastmoney.com/news,000001,1720091764.html",2026-06-08 14:35:31
东方财富股吧,很多人说分红就是分自己的钱，还不去不分，你们是这是什么脑回路啊？这些人脑袋上肯定,06-07 06:41,平安银行(000001),很多人说分红就是分自己的钱，还不去不分，你们是这是什么脑回路啊？这些人脑袋上肯定,548,30,"https://guba.eastmoney.com/news,000001,1721973945.html",2026-06-08 14:35:31
东方财富股吧,想挣钱就是一个字：干！人生短暂，留给我们的时间不多了，何不拼一下子呢，拒绝平庸，,06-08 01:26,平安银行(000001),想挣钱就是一个字：干！人生短暂，留给我们的时间不多了，何不拼一下子呢，拒绝平庸，,17,0,"https://guba.eastmoney.com/news,000001,1722444771.html",2026-06-08 14:35:31
东方财富股吧,平安银行这是要高打高举，回归本源。,06-08 01:10,平安银行(000001),平安银行这是要高打高举，回归本源。,20,0,"https://guba.eastmoney.com/news,000001,1722414116.html",2026-06-08 14:35:31
东方财富股吧,假如每年都能分六毛我也就知足了，不奢望太多，看来也无可能。,06-07 12:00,平安银行(000001),假如每年都能分六毛我也就知足了，不奢望太多，看来也无可能。,198,4,"https://guba.eastmoney.com/news,000001,1721944511.html",2026-06-08 14:35:32
东方财富股吧,积极参加分猪肉，当然，万一分到带毛母猪肉，只能自认倒霉。不过，这个价位，再向下到,06-07 10:43,平安银行(000001),积极参加分猪肉，当然，万一分到带毛母猪肉，只能自认倒霉。不过，这个价位，再向下到,171,1,"https://guba.eastmoney.com/news,000001,1721938389.html",2026-06-08 14:35:32
东方财富股吧,市盈率太低了，起码达到9才合适。,06-05 02:32,平安银行(000001),市盈率太低了，起码达到9才合适。,120,4,"https://guba.eastmoney.com/news,000001,1721589238.html",2026-06-08 14:35:32
东方财富股吧,能不能涨到12，涨到12我交出筹码，只求给我个回本的机会，熬的我已经生病了,06-05 01:15,平安银行(000001),能不能涨到12，涨到12我交出筹码，只求给我个回本的机会，熬的我已经生病了,361,18,"https://guba.eastmoney.com/news,000001,1721446319.html",2026-06-08 14:35:32
东方财富股吧,刚才看到个疑似雷,06-05 09:51,平安银行(000001),刚才看到个疑似雷,74,0,"https://guba.eastmoney.com/news,000001,1721772052.html",2026-06-08 14:35:32
东方财富股吧,~,06-05 09:34,平安银行(000001),~,40,0,"https://guba.eastmoney.com/news,000001,1721767507.html",2026-06-08 14:35:32
东方财富股吧,近七成A股上市银行已设国际业务部，离岸联动与流程嵌入“双轨”并行,06-05 09:28,平安银行(000001),近七成A股上市银行已设国际业务部，离岸联动与流程嵌入“双轨”并行,1046,0,"https://guba.eastmoney.com/news,000001,1721766188.html",2026-06-08 14:35:32
