entity_name,entity_type,region,event_count,total_penalty_amount,avg_risk_score,risk_level
通鼎互联,上市公司,广东,1,0.0,30.0,低
A股上市公司,上市公司,未知,1,0.0,30.0,低
A股三大股指,其他,未知,1,0.0,30.0,低
凯瑞德,上市公司,未知,1,0.0,30.0,低
北京商报,其他,北京,1,0.0,30.0,低
北京航天驭星科技股份有限公司,上市公司,北京,1,0.0,30.0,低
利和兴,上市公司,广东,1,0.0,30.0,低
北京中科信半导体股份有限公司,上市公司,北京,1,0.0,30.0,低
博腾股份,上市公司,未知,1,0.0,30.0,低
和顺电气,上市公司,江苏,1,0.0,30.0,低
先锋精科,上市公司,未知,1,0.0,30.0,低
公募基金,基金,未知,1,0.0,30.0,低
珠海泰诺麦博制药股份有限公司,上市公司,广东,1,0.0,30.0,低
海南百迈科医疗科技股份有限公司,上市公司,海南,1,0.0,30.0,低
东田微,上市公司,未知,1,0.0,30.0,低
中国人寿,保险,未知,1,0.0,30.0,低
泰恩康,上市公司,未知,1,0.0,30.0,低
江苏有线,上市公司,未知,1,0.0,30.0,低
永鼎股份,上市公司,未知,1,0.0,30.0,低
洁美科技,上市公司,未知,1,0.0,30.0,低
欣旺达,上市公司,海南,1,0.0,30.0,低
模塑科技,上市公司,未知,1,0.0,30.0,低
杭州华大海天科技股份有限公司,上市公司,浙江,1,0.0,30.0,低
中核科技,上市公司,未知,1,0.0,30.0,低
百利天恒,上市公司,未知,1,0.0,30.0,低
甘肃上峰材料股份有限公司,上市公司,甘肃,1,0.0,30.0,低
瑞松科技,上市公司,未知,1,0.0,30.0,低
盛洋科技,上市公司,未知,1,0.0,30.0,低
返利科技,上市公司,未知,1,0.0,30.0,低
美诺华,上市公司,未知,1,0.0,30.0,低
禾川科技,上市公司,未知,1,0.0,30.0,低
瑞银证券,证券,未知,1,0.0,30.0,低
瑞银集团,证券,未知,1,0.0,30.0,低
湖南发展,上市公司,湖南,1,0.0,30.0,低
湖北宜化,上市公司,未知,1,0.0,30.0,低
深圳证券交易所,其他,广东,1,0.0,30.0,低
鲁信创投,上市公司,山东,1,0.0,30.0,低
牙博士医疗控股集团股份有限公司,上市公司,江苏,1,0.0,30.0,低
上海石化,上市公司,上海,1,0.0,30.0,低
豫能控股,上市公司,未知,1,0.0,30.0,低
龙芯中科,上市公司,未知,1,0.0,30.0,低
软通动力,上市公司,未知,1,0.0,30.0,低
中石油,上市公司,未知,1,0.0,27.4,低
学法狮龙,其他,未知,1,0.0,26.4,低
